subject,content
Org Chart,Attached is the revised org chart.
Legal Committee Meetings,The Legal Committee meeting normally held every other Monday in conjunction with the OGC meeting will not be held for approximately two months. The OGC meetings will continue every Monday morning as usual beginning 8:30 am Central time. You will be notified when the Legal Committee meetings resume. Thank you.
Diversion Question,Attached is a memo regarding the above matter.
Re: update,Thanks for the update. Keep spending time getting advice from Barbara. Mark
Chart - Power risk areas,Mark Attached is a draft of the chart of power risks. Let me know if there is anything else you would like me to do on this. We are still in the process of reviewing top exposures with credit. Elizabeth 36349
Test,Is your new address working?
Hypotheticals,Please review the attached hypos and give me comments. How do I make 2 and 3 better? What other hypos should I add? Maybe one geared more toward Alberta? Mark
Re: Hypotheticals,Mark Attached are my comments to your Hypotheticals. Call with any questions Thanks Elizabeth 36349
CPS BEAR Volunteers,Thanks so much for your help on the BEARing gifts program! It is a great cause and your help will make Christmas a lot happier for a lot of kids who really have very difficult lives. Most have never received anything new. Have a great holiday season! Mark Haedicke
Re: Board meeting,yes
Re: Continental Power Master with Preussen Electric,Great job! The english language will dominate the energy world! Mark
Re: PWC Letters,These look fine. Have them printed off for me to sign. Mark
OGC Meeting re PRC Matters,There will be an OGC meeting this afternoon from 1:30 to 2:30 PM in EB38C2 regarding PRC matters. Please plan to attend.
Dabhol LNG Contracts,Please find attached my draft summary relative to the above contracts. Let me know if you have any corrections. Mark Haedicke
Re: First Point California,Sheila Tweed or Dale Rasmussen. Mark
Re: First Polish Deal!,Congrats! Things seem to be building rapidly now on the Continent. Mark
Re: Legal Committee Telephone Conference,Let's try again in two weeks. Mark
Re: Member Applications,Making progress in energy! Mark
Re: Nordic Power Documentation Project,Martin: Thanks for the update! It looks like great progress in being made. Mark
Re: Corporate Charges,Kristin: Kevin is very concerned with this charge. Why is litigation now being billed up front? Why is there a 50% increase in corporate legal? Why is there a 100% increase in corporate secretary? Why are we billed for the library when we use primarily electronic sources? Could you please work on the answers to these questions and get back to me. Mark
Re: NASDAQ Due Diligence - in connection with Mariner Energy LLC,I am confirming. Mark
Arcor Executed Dash,Here are the three approved Documents. They have all been executed. MFG
Re: BNA Energy Executive Daily 11/4/99,Please do not send me these messages as I do not have time to read them. Mark
Re: State Bar of Michigan e-Journal - 6/23/99,Please do not send me the reports anymore as I do not have time to read them. Mark
Re: 99.10.27 Newsletter,Please stop sending the newsletter to me. Mark
"Re: EEI Update- Standardized Master Purchase and Sale Agreement and
 Into Definition Conference Call",I would like to sit in from 230 to 300. Thanks. Mark
Top Ten Legal Risks,Please use the form attached when preparing the top ten risks for your businesses. Please be brief!
Arcor Executed Dash,Here are the three approved Documents. They have all been executed. MFG
Meeting with Rahul Saxena,Nina Edmonds
Sithe Meeting,Attendees: Todd Busby Morris Clark Wes Colwell Joe Deffner Dave Delainey Tim Detmering Jeff Donahue Steve Douglas Rodney Faldyn Mark Frevert Mark Haedicke John Lavorato Lisa Mellencamp Sheila Tweed Chuck Ward Greg Whalley
Telephone Call from Peter Keohane,RE: discuss a candidate.
Interview with David Steiner (Twanda Sweet 3-9402),Resume will be received before interview.
Meeting with M.Maron/R.Sanders-Bushton Plant (Twanda),Twanda Sweet 39402)
Cancelled Attendance - OGC Mtg - 38C2,Called Julia's Assistant and let her know that Mark would not be attending.
"CANCELLED - Business Luncheon with Drew Lynch meet in Lobby (Nicole
 31431)",Cancelled per Cindy Schaeffer 5/26/00 Nicole Mendez ext 31431 made appointment
BEAR (Be A Resource) Committee Meeting,Thank you for agreeing to serve on the BEAR Committee. This initial meeting will be a brainstorming session to try to develop more proactive ideas to ask for contributions to the Be A Resource Program to purchase bikes and scooters for the children for Christmas.
Brooklyn Navy Yard - Approval Meeting - Room EB3321,Conference call facilities to be arranged by Tammie Schoppe
Diversion Question,Attached is a memo regarding the above matter.
Chart - Power risk areas,Mark Attached is a draft of the chart of power risks. Let me know if there is anything else you would like me to do on this. We are still in the process of reviewing top exposures with credit. Elizabeth 36349
Briefing Paper- FERC's June 19 West-Wide Price Mitigation Order,Please find attached a detailed briefing paper on the captioned order. Ray Alvarez
Re: Hypotheticals,Mark Attached are my comments to your Hypotheticals. Call with any questions Thanks Elizabeth 36349
California Assembly Bill No. 128,Attached is the EWS Tax Group's assessment of California Assembly Bill No. 128. I look forward to speaking with you later this afternoon. Best regards. Steve.
California Assembly Bill No. 128,Attached is the EWS Tax Group's assessment of California Assembly Bill No. 128. I look forward to speaking with you later this afternoon. Best regards. Steve.
Qwest-Draft Legal Risk Memo,A draft for your review and comment.
Conflict Waiver,I have periodically received requests from Andy Kramer in the form of the attached. How should I address this issue? I would not want to provide a waiver that may otherwise raise an issue for Enron. Thanks in advance for your guidance. SHD.
HD TX Risk Memo,ATTORNEY CLIENT PRIVILEGED COMMUNICATION Please see the attached. MDS
Security,I couldn't find a phone number for your guy who is working the security/background check issue we discussed yesterday (I think I garbled his name by the time I got back to my office). Pls let me know who to contact as I'd like to make sure we have some uniformity of practice on this issue. Thanks. df
pg & e,wanted to thank you all for all your hard work for the unsecured creditors' committee. know that people put in some long hours and frustrating moments. we appreciate the good job you are doing and know the effort it took (but don't stop now!). please pass this on to your team. hope you can rest this weekend....
CPUC just voted to suspend DA effective today.,Will call about budget later.
Confirmation of Completion/November 30th Paydate,SAP/TPC CONFIRMATION NOTICE This notice is to confirm the following transaction has been completed in SAP: Enron Federal Credit Union (Contribution increase) Effective 11/16/01 Please anticipate deduction on the 11/30/01 paycheck HR SERVICE CONNECTION
(no subject),ok bye
(no subject),ok thats good news.....i hate it when you have to go away.........today we are going bowling. i wish you could have come
(no subject),hi dad! how are is work going..i miss you....when will you be home tonight?
REMOVE SUCCESS,This is to confirm your removal from our database. You will receive no further emails from F1Trading.com
London & Canada,As I have discussed with you we must resolve numerous outstanding issues relating to Canada and London. Let me know when we can meet.
Wednesday Astros Game,I have my tickets (4 in Row 31 Section 122) available for Wednesday's game. I have a conflict and would be pleased if any of you could use them for you or your people. Game time is 12:15. Let me know as soon as you can. Go Astros!
October Program,Hi Mark. How are plans for this year's BEAR program? I wanted to forward an invitation to a community program I am chairing later this month. I thought this would be of interest for your legal team. We are working on CLE credits for this as well. Call if you need more details. Laura
Mariner buy-out proposal,Mark: Per my voicemail. Teresa
Bankruptcies,Will Leasa Mellencamp or the bankruptcy committee now be handling EES bankruptcies or just advising on the process?
Bankruptcy Committee,Ed Essandoh will be the EES rep on the bankruptcy committee. Paul Darmitzel will be the EES lawyer focusing on Enron Direct bankruptcy matters.
hi,hi dad........whats up
(no subject),hey dad........I hope you can come home early
(no subject),thats a good time....zach asked me to go to a dinner and a movie wit him so i think i am going....see ya later Justin
Powers of attorney for sale of Australian companies,larry further to our discussion this morning attached the powers of attorney that I discussed we would like to get them executed so that we would in a position to sign the sale sale agreement today. I am currently working on the resolutions. David Minns
Freshfields,Freshfields has agreed to take their fees out of the proceeds from the sale of the project. Take this one off your list for now.
Yahoo - Labor Department Investigating Enron,Assume you're aware of the DOL's investigation. Thought you might be interested in the article.
Legal Risk Memo - Ashton Coal Project - Australia,Attached is the Legal Risk Memo for the proposal currently with RAC concerning the acquisition of a 10% interest in the Ashton Coal Project plus associated coal marketing rights. Naturally if you have any questions please don't hesitate to contact me. David Minns Senior Legal Counsel Enron Australia Phone 612 9229 2310
Foley and Lardner October 2001 Update,<<Chiquita Client Update.PDF>> <<Chiquita Update.doc>>
Resolution,Rick and David: Attached you will find the proposed resolution. Let me know what changes you need to make. Jeff
Revised West LB letter,I sent a fax on Saturday with revised language for the letter to West LB. PLEASE DO NOT FORWARD THIS ON TO WEST LB AT THIS TIME.
NOTICE:  11:30PM Meeting to Discuss Communication Package,Steve Kean has scheduled a meeting at 11:30pm in EB 3321 to discuss the communication package. Derrick and Haedicke: Please invite others in your group that should attend.
IMPORTANT VIDEO ANNOUNCEMENT,I have a very important video announcement about the future of our company. Please go to to access the video. Thank you.
final documents,Pls send me final executed copies of all the Merger related documents ASAP!! Thanks
pg&e creditors' committee--removal,we have have been removed from the above due to dynegy merger (they are on the committee as well) and reliant has been appointed in our place.
Letter re Solicitation of Employees,Attached is a draft of the letter to Corporate Counsel re solicitation of EWS employees.
Baker McKenzie,Rick Hammett has confirmed that there were no responses to the email. I have asked him for a list of who it was sent to.
MSN,The lawsuit is being walked down to the courthouse as I write this. I will let you know as soon as it is filed.
Hoops Saturday Night,Just confirming that you have the tickets. We are looking forward to seeing you guys Saturday night!
Foley and Lardner FCPA Update,<<American Bank Note (FCPA Update 11.2001).PDF>> <<American Bank Note.doc>>
EWS Mid-year Final PRC Mtg. Distribution List,=20 To:=01; Mark Frevert;Greg Whalley;John Lavorato;Louise Kitchen;Mike=20 McConnell;Jeff Shankman;Philippe Bibi;Greg Piper;Jeff McMahon;Ray=20 Bowen;Rebecca McDonald;Jim Hughes;David Oxley;Robert W. Jones;Wes=20 Colwell;Mark Haedicke;Vince Kaminski;Phillip Allen;Tim Belden;Chris=20 Calger;Joe Deffner;Tim Detmering;Dave Duran;Joe Kishkell;Rob Milnthorp;Bria= n=20 Redmond;Gary Hickerson;George McClellan;Sally Beck;Brian Stanley;Keith Dods= on; =01; Cc:=01; Niki Daw;Liz Taylor;Kim Hillis;Tammy Schoppe;Cathy Phillips;Jennife= r=20 Burns;Peggy McCurley;Tina Spiller;Sue Ford;Marsha Schiller;Loretta=20 Brelsford;Connie Blackwood;Julie Clyatt;Lisa Costello;Shirley=20 Tijerina;Janette Elbertson;Shirley Crenshaw;Ina Rangel;Deborah=20 Davidson;Mollie Gustafson;Megan Angelos;Susan Fallon;Tina=20 Rode;G.G.Garcia;Manuela Cappelletto;Lillian Carroll;Judy Zoch;Angie=20 Collins;Patti Thompson;Nicola Blancke;Barbara Hooks; =01; Bc:=01; Sheila Knudsen;Carol Coats;
EGF-Legal Dealflow Distribution,Please see the attached EGF Legal Dealflow Sheet.
Calpine Leads Natural-Gas Consolidation Trend,Today's IssueAlert Sponsors: [IMAGE]
LA,Shouldn't we go to LA Tuesday so we can be in the office on Monday after being away Thurs and Fri?
EWS Litigation Status Report,Attached is an updated EWS Litigation Status Report.
Project Priscilla - Legal Risk Memo,The draft legal risk memo for Project Priscilla (Las Vegas Cogen II) is attached for your review and comment. I left a voice mail about the project on Friday. The commercial people are working through the approval process this week. Please let me know of any comment or concerns. My extension in Portland is 8863. Thanks.
Duke,FYI: The folks at Susman Godfrey are scheduled to meet with Rebecca McDonald (and her counsel) at 1:30 p.m. tomorrow. I will keep you advised.
Weekly Report--Major Litigation/Claims,Please see attached. =01; Michelle Lawless
Serveron Legal Risks Memo,Attached is a risk memo outlining some of the unusual risks associated with our proposed purchase of 7.4 million in Series C preferred shares from Serveron.
revised ESA Legal Risk Report,I spoke to Bob Williams and Michelle Blaine and have revised the memo reflect their input. EDD
Weekly Report--Major Litigation/Claims,=20 Please see attached. =01; Michelle Lawless
Henrique Watanabe,Luiz Watanabe has just called me from the hospital. His son's heart surgery went extremely well (better than originally planned) and Henrique is recovering in the intensive care unit.
Year End Deal List,Here is the ENA Finance Team's list of pending year end transactions as we discussed. I've keyed in who I understand the be the legal reps on the deals which I am most familiar.
9/26/00 Rhythms Sales,Please see attached.
Net Works Structure Chart,Attached is a revised structure chart for the Net Works equity fund. The chart represents the comments and issues raised at last week's structuring meeting.
Duke/Citrus,We expect that the lawyer who will take Frevert's deposition will be Steven Smith with O'Melveny & Myers out of San Francisco. His biographical information can be found at I will bring you a hard copy when we meet at 1:30 p.m. Andy
Ohio Schools Legal Risk Memo,Attached please find the legal risk memo for the Ohio Schools transaction.
Monthly Significant Litigation Report,Attached is GPG's report for October 2000.
Holiday Schedule 2001,Please click on the URL below for Enron's 2001 Holiday Schedule.
Bi-Monthly Report - 23rd November 2000,Attached is the current report regarding the transactions/matters being handled by the Enron Europe Legal Department. Regards. Mark
Status of ENA Litigation,Attached is an updated status report re ENA litigation.
Accomplishments for 2000,Attached is a list of accomplishment for 2000.
Translations,www.freetranslation.com ab/translator.html this appears to be online foreign dictionaries
SALSA (TexMex DASH),Preliminary draft.
Project Tex Mex Legal Risk Memo for HVDC Intertie Project.,Attached is a legal risk memo. Please advise me if you have any questions or comments that should be addressed before distribution.
2000 Major Accomplishments,Attached is a memo regarding the above referenced matter.
Invitation - Mariner 9:00am Board Meeting (13 Dec 08:30 AM CST),THIS MEETING HAS BEEN RESCHEDULED FROM 12/7/00 TO 12/13/00. SAME TIME
Invitation - Star Wars:  The Magic of Myth,Please click on the link below for the invitation to the museum.
"Valero Positions to Become Challenger to ExxonMobil; Shakeup in Oil
 Industry Includes Power Firms",SCIENTECH's IssueAlert
Enron Wholesale Services Meeting,From the office of Mr. Mark Haedicke! Please note the attachment. Thank you
Janette Elbertson/HOU/ECT is out of the office.,I will be out of the office starting 05/21/2001 and will not return until 05/31/2001. I will respond to your message when I return.
Progress Report - EWS Coordination,Attached is a progress report on the agenda items that were prepared in our last meeting. We can discuss completion items during our meeting tomorrow. Jim
Negative CTC Update,I suggest we combine the Negative CTC litigation update with a Mike Smith tutorial for Price/Quinn on Thursday. Sound good to everyone?
Bid/Ask,Louise: I talked to Jim and we have worked through a revised strategy as we talked about yesterday. So no call from Jim. Mark
Bob Devine,There are some more developments re Bob that we should talk about. Mark
Re: FW: Top Private Equity Law Firms,Where did we come out on a cap on breakage fee? Mark Haedicke
Test,Mark Haedicke
Re: DYNEGY,We will get you a summary soon. Mark Mark Haedicke
Re: (no subject),I think it wii be about 7 or 8? Dad Mark Haedicke
Re: (no subject),Good luck. I will email you later. Dad Mark Haedicke
Cash Position,I need to talk through our cash position for tomorrow at with our contingency team. I would like to do it today at 4:30 pm central time. Mark Haedicke
Re: Recent Appointment,Congrats! Mark
Re: Gas Interconnector Deal & Continental Gas Developments,Thanks Justin.
Re: Ringeriks-Kraft,Thanks.
Re: Seasons Greetings from Gay Wisbey,Gay: It is nice to hear from you. I hope things are going well. Merry Christmas! Mark
Re: Online Trading,Thanks for the update. Mark
Re: Tana Jones,Thanks for the comments. I will make sure Tana gets taken care of. Mark
re: Master Agreements,Michael: I think it is an excellent idea to keep count of the number of ISDAs we have as a way of focusing attention on our progress. I think it may be a good idea to get a paralegal secondee from A&O or Linklaiters. That secondee could then help with overflow work after a return to the firm. Mark
Re: Nordic Power Documentation Project,I have noticed it! Mark
Re: Energy Derivatives Panel at ISDA's AGM 2000,Let me know if there is anything else I need to do right now. I would think we would want to set up a conference call as soon as we have identified all the panel members. Take care. Mark
Re: Greetings,Anita: Thanks for your note. You made a great contribution to the Singapore office and I thank you for that. Have a happy new year! Mark Haedicke
Re: Carol St. Clair -- Year End Closings,Gareth: Thanks for that note. Have a happy new year! Mark Haedicke
Re: Hello & request,Ernest: Happy New Year! Is it too late to call on behalf of your wife? I was swamped in December and never got to it. Let me know. Take care. Mark
Re: Draft Position Paper,Ken: This looks fine to me. Where do we go from here? Mark
Re: Boies potential DQ,The name does not sound familiar to me. Mark
Re: Energy Supplement,Happy New Year! Thanks for the message. I will check on this asap. Mark
Re: ENRON -- BANDWIDTH TRADING REPORT,I hope it comes true! Mark
Re: Calpine,Calpine was going to take assignment of a contract with LCRA and backed out on the agreement. We can talk about it more when I am in Portland on Tuesday and Wednesday. Take care. Mark
Re: First Dutch Power Trade for the whole of 2000,Thanks for the info! Mark
Re: TBMA,Bob: I am fine with your proposed endorsement language. It was great to see you last week! Mark
Re: Backup,OK
Re:,Welcome! Please stop by. Mark
Re: Execution of Employment Agreements,Let's talk about it. Mark
Re: ENA Legal Opportunities,Thanks for your note. I think it is easiest to contact Julia Murray and Lance Schuler. Please call me at any time. Mark
Re: Commodity Derivatives Regulations in Norway,Martin: Thanks for the update. It sounds overall like the direction will not be negative to our business in any material way. Is that correct? How is the weather? Mark
Re: Houston Bas Association Pictorial,KMM: I believe MEH needs a photo for HBA Pictorial. sts
Re: establishment,Paul: Thanks so much for your help. I think the legal team you have made available to us is very impressive. I look foward to our success in Japan. I have authored many articles on trading in markets around the world. Would anyone in your shop like to work with me on energy trading and documentation in Japan? Mark
Re: Nominations for Chairman,I am sorry for ISDA that Mark Harding cannot run for Chairman again. I will give you a call. Is Montag willing to do it?
Project Miro,Per our conversations. Give me a call. Mark
First Draft ofTerm Sheet on Project Bigtoe,Please provide your comments to me as soon as you can. The most important thing at this point is to make sure I have the business correctly described. I am working on the letter of intent now. We will have to decide how detailed you want the term sheet and loi. I would think you would want it fairly general for your first few meetings until we get feedback. Let me know. Mark
Big Toe Chart,Mark Haedicke requested I forward the attached drawing.
Re: Portland Training,Thanks for the feedback. Mark
Re: LIPA Deal,I think we need coordination on all plant matters. Mark
Re:,Talk to Janette and let's get a few other people. Mark
Bigtoe Chart,Attached is the chart for Bigtoe.
Re:,Sorry for my tardy reply. I have been covered up. Thanks anyway. Mark
Re: Moving Costs,I am not sure. The numbers do look reasonable to me. See if they are ok with Sheila Walton and would fit in with our standard policy. Mark
Re: Legal offer to junior lawyer,We have not talked about this. Mark
Re: Time to change that address book,What's going on? Where are working now? Mark
Re: Time to change that address book,Have you thought about Arthur Andersen or PriceWaterhouse? Mark
Re: Email_Verification,yes.
Re: Precipitous Drop in Calpine's Stock Price,Thanks for the info. Mark
Re:,Bill: I am looking foward to the game! I will try to walk over to your offices by 6:00. Mark
Re: qualitech update,Thanks for the update. Mark
"Re: First Physical Power Deal with a French end-user/Contract
 Signed",That sounds like a great start in France. Mark
Re: Inquiry,Thanks. We are in litigation with the Px. Let me know if she continues to pursue Enron. Mark
Re: Alberta Power Purchase Arrangement Auction,Thanks for the info. Mark
Re: Farewell,Best of luck! Please keep in touch! Mark
Re: Board Involvement,I am on the boards on Harris County Children's Protective Services and International Swaps and Derivatives Association. Mark
Re: Opening Game @ Enron Field - 4/7,I will have to take a rain check. I am meeting my son's fourth grade field trip here in SA and as it turns out we won't head back until about 7 pm. Have a great tme. Mark
Re: Lynda Clemmons,I think that is as good as we can get under the circumstances. I would take it. Mark
Re: H&K,H&K has done only a little work for us. Mark
Re: RESUME,Not enough experience. Mark
Re: Reminder - Executive Impact & Influence Program,I did it last week! I think it is a great seminar. Mark
Re: weekly report,That is a great success. Mark
Re: Details for Mr. Baxter,Susan: It is ok to provide the requested information. Mark
Re: Objectives of the Legal Group,A couple of other thoughts: 1. Aggressively pursue litigation claims and manage litigation risks. 2. Build contracts and legal infrastructure to support new businesses like paper. 3. Develop top talent in the firms to assist getting all our deals done. Mark
Re:,I will be there. Mark
Re:,I could not open the document. Mark
Re: to: Mark Haedicke from: Jeff Zinman,Not enough experience for our shop.
Re: Urgent Update,Rick Grove and I spoke with Chairman Rainer on Friday about energy and he did not budge. He appears to be strongly against us. Why do you think that is?
Re: Executive Offsite Handouts,Julia has all the handouts. Mark
Re: SFA Update: Change of Personal Details,That is great that John has an interest! Mark
Re: Caminus Corporation,I have not heard of the firm. Mark
Re: Moore Power Project - Legal Risk Memo,Thanks for the summary. Mark
Re: Summer Stroll for Epilepsy,You're very welcome. Mark
Re: Risk Memo - Credit Derivative (Re. Eastern Risk),Thanks for the memo. I think the transaction makes a lot of sense. Mark
Re: PoweRisk 2000 - October 4th & 5th - Paris,I would like to be on the panel but I have on a conflict on the conference dates. Please keep me in mind for next year. Mark Haedicke
Re: Rob McGrory,I am fine with your proposal. Mark
Re: Enron Canada Corp. - Corporate Secretarial Matters,I have put the executed doc in the mail. Mark
Re: Invitation to Astros Game--From Bill Swanstrom,I will be out of town. Thanks for asking. Mark
Re: Enron media analysis,Jaime: Thanks for the information! Mark
RE:,7:45 is ok with me. I am at 14623 River Forest. Let me know if you need directions. Mark
Re: Nevada,We did a cogen deal in Nevada. Try asking Karen Jones in Portland. Mark
Hi!,This is a test.
Re: Dinner at the Sonoma Mission Inn - June 7,Fish.
Re: Choice of law issues,Please check with Janette. Thanks. Mark
Re: SFA POLICY AND PROCEDURES MANUALS,I received the binder. Thank you. Mark
Re: NSTAR 6-month Transaction,Congrats on the deal! Mark
Re: Kenan Systems,I do not know of any reason. Mark
Re: hello!,Let me know how it goes. Mark
Re: Business Method Patent matters,Is our filing date of July 1 still on track? Mark
Re: PROJECT DOORSTEP,I think attending the ISDA workshop would be a good idea. Mark
Re: Sweden - Commodity and Weather Derivatives,Thanks for the message. I will be over in a few weeks. I look foward to catching up on things. Mark
test,test
Re: re Edison Mission Master,Congrats! It is a good ground breaking deal. Mark
Re: Question...,I would try Rick Shapiro. Mark
Re: Help for Wayne,George: We have a new lawyer in Alan's group starting in a few weeks. I want this lawyer to help Wayne. I think this will take care of the issue. Thanks. Mark
RE: Request for Proposals,Bob: I think we say we want the facility to be revenue enhancing and that we are in favor of joint bids. Take care. Mark
Re: Antitrust Briefing,Let's do it in August during the week of the seventh. Please start working on a short memo for Dave and me to send out. I think we need to have at least two dates. The memo should say attendance is mandatory. Mark
Re: bolivian gas trading,Thanks for the heads up. Keep me posted. Mark
Re: Correction regarding the timing of the Wimbledon Event,Thanks!
Re: PRC - Dale Rasmussen,Chris: Thanks for the feedback on Dale. I agree with your assessment. Take care. Mark
Re: SFA approval of MG deal,Paul: Great news! Were there any difficult questions raised by the SFA? Mark
Re: Barrett Resources,Mary: Never heard of Barrett. I think it is a good trend that energy companies are seeing it in their interest to join ISDA! Mark
Re: Ontario Law,Chris: How about Sept 21? I have to be in NYC anyway on Sept 20. Mark
PPA's,Please review the attached summary of legal risks. Mark
Re: Greg Johnston/Mark Powell,I think you need to do their reviews. I would coordinate with Jeff Hodge to make sure you get the appropriate feedback from Houston.
"Re: Accessing HR Global Information System and updating yor
 personal data",I updated mine last week. Please confirm it is not there as of today. Mark
Re: EFET,Martin: Looks like great progress! Mark
Re:,Thanks for the memo. It is going to be a very interesting area! Mark
Re: Brazos Cert Filing,Shouldn't we go with LeBeouf? Mark
Re: St. Croix Unit 1204,Ron: Thanks for your help. Let's get together for lunch some time. Let me know what works for you. Mark
Energy Committee Meeting in September,NIck: Do we have an erergy meeting scheduled in September. Let's talk about this. We could do it in either London or Frankfurt doing the week of the board meeting. Let me know your thoughts on this. Mark
Re: Convergent Board Seat,Jay: You and I can talk through the issues. The key point is that you have to vote the best interest of the corporation on whose board you sit and not your personal interest or the interest of Enron. Give me a call and we can talk through the business of Convergent and what the risks are. Mark
Re: FYI - Non-competition Clause in IT Service Contracts,Mark: Would you please propose language to me along the lines I suggested. Thanks. Mark
"Re: Proposed Rules Concerning Intermediaries; Regulatory
 Reinvention; Exemption for Bilaterial Transactions",I will be here next week. Mark
Re:,Please schedule 30 minutes with Janette. Mark
Re: Louisiana Tax Lawyer,No I have not. Mark
Re: Grupo Tribasa/Enron Business Relationship,I would stay out of it in light of John's message. MARK
Re: Tape Retention,Thanks for confirming the destruction of tapes. Mark
Enron Net Works Monthly Legal Report,Attached is the Enron Net Works Monthly Legal Report.
Re: September 13 ISDA Board Meeting,I vote for the monastery. I look forward to our meeting. Mark
Re: Financial Trading in Australia,Thanks for the memo. Mark
Re: Nevada Counsel,Try Sheila Tweed. We did a few transactions there last year. Mark
Re: resent resume,I have talked to my friend and the areas where we need help are in coal product and paper product marketing and industrial customer outsourcing. Give me a call and I can describe the opportunities and see what your interest level is. Mark
Re: Lawyer Meeting,Peter: Thanks for the message. I look forward to getting together. Mark
Re: Sempra - Synfuel,Congratulations to you and your team! Mark
Re: Your Visit Next Week,Thanks for the invitation but we are going on to Calgary. Mark
Re: Chicago Board of Trade Comment Letter,Bob: Thanks for the heads up. Mark
Re: Photos/Artwork,Joan: I will talk to Susan and see what her interest is. Thanks. Mark
Re: S&A memo,I am ok with a memo as you proposed. Mark
Enron Global Markets Monthly Legal Report,Attached is the Monthly Legal Report for Enron Global Markets.
Cellular Phones,Please carry your cell phone with you (with the power on) while you are at work during normal business hours. It is important that I can reach you when it becomes necessary. Thank you for your cooperation.
Re: Training Matrix,Please update as you fill in the rest of the dates. Thanks. Mark
Re: Frame Job,Joan: Great! Susan said she would like to go to a few shops as you suggested. We can talk about that. Mark
Re: wall street jounal article - enron software inc.,We will look into it. It may be an infringement. Mark
Re: Porter & Hedges,I am ok with it. Mark
Re: Toronto Meeting,I agree. I want to change the reporting to be directly to me anyway. Let's discuss. Mark
Re: Blue Range,Thanks for the message! It was a complete victory! Mark
Re: Greg's Concern,We sent a letter asking him to stay away from the families and INS is supposed to show up today and deport him. We'll see what happens. Mark
Re: ISDA Board Papers,Please hold for me. I will see you soon. Mark
Re: objection to bt's hedge claim in costilla case,Let's plan on talking about BT's hedge claim. Mark
Re: Junior Achievement - We Need You!,Niki: I would be happy for 2 students to be assigned to Legal. Mark
Re: LEGAL CONFERENCE - SHIRT SIZE,large
Re: Member Applications,Accord should be a primary member. It is the trading arm of British Gas. Mark
Re: (no subject),Great! Let me know how it goes. Mark
Re: New Position,I appreciate all the work you did for us! Mark
"Re: Mississippi Power Company Application for Approval of Cost
 Allocation Methodolgy",I don't know anything about this. Mark
Re: Due Diligence Documents Sent to Lou Soldano,We are looking at buying several paper companies. I think you should send them to me. Thanks. Mark
Re: Resume of Regulatory Lawyer for your perusal,Thanks for the resume. I do not need a regulatory lawyer at this time. Mark
Re: Due Diligence Documents Sent to Lou Soldano,Send the docs to Julia. Mark
Re: Legal Conference,I plan on playing golf. Mark
Re: NYMEX email address...,Thanks for the message. I will try to get that fixed. Mark
Re: Bond & Equity Trading,What is the status of setting up Chinese Walls? Mark
Re:,Bill: I would talk to Lisa Mellencamp about representing ENA re East Coast Power. Mark
Re: Energy Developing Products Memo,Looks good to me. Mark
Re: EnronOnline- Reuters,Rappaport's comments are potentially very negative to us. I think we should write him a letter in protest. Mark
Re: Power Systems,I am working on the scheduling the meeting this afternoon with Power Systems and their outside lawyers to ask for the legal opinion we need on this matter. We have to nail down all the facts and then get Power System's outside lawyers to write the appropriate opinion. I will keep you posted. Mark
Re: Enron Affiliates Using MG as Broker,Please call John Arnold and ask him where the traders are coming out on this. Let me know. Mark
Who Moved My Cheese?,If you have a copy of Who Moved My Cheese? please read it at your earliest convenience and return it to the clerks' station so everyone attending the conference has an opportunity to read it. Thank you.
Woodlands Presentation,Per our conversation. Mark
Re: Enron Japan Office Opening Ceremony,Joe: Thanks for the invitation. I would love to be there but unfortunately I can't make it. Mark
Re: ENA offsite - speaker materials,Only the 3 slides on power point. Mark
Re: NGX/Canadian Enerdata,It is ok with me. Mark
Re: Proposed November 9 Unit CLE Seminar--Ethics,I am ok with the seminar. People may have figured out other ways like self study to get their ethics hours in. Mark
Re: AEP,No problem.
Re: Shell,Primary. I think we should give an ultimatum to Cargill. I could say that all Enron trading is to hedge risk too! Mark
Energy Trading in Japan,Terry: Greetings. I have been reading about lliberalization of power markets in Japan starting next year. I wondered if you expect IBJ or any of the other large financial institutions in Japan to make a market in power? Would you or someone else you know want to talk about that? Let me know. Hope things are going well. Take care. Mark
Expense Reports for Members of the OGC,This is a reminder that I need to approve all expense reports for all members of the OGC.
Re: Update on Fountain Valley Power (PSCo Deal) PPA,Thanks. Mark
Organizational Chart,Attached is our organizational chart which will be prettied up over time.
Test,Is your new address working?
RE:,Sounds good. Mark
Re: Agency issues regarding the Alberta Retail Initiative,Your memo was well done. Mark
January 18 - ISDA Board Meeting,ISDA has confirmed January 18 as the date for the Board meeting in London.
Re: Continental Power Master with Preussen Electric,Great job! The english language will dominate the energy world! Mark
Re: PWC Letters,These look fine. Have them printed off for me to sign. Mark
tva,Janette
Re: Organizational Changes,Thanks Gareth! Hope things are going well. Mark
Register for Flu Vaccine,Please register me for the flu vaccine. My cost center is 105655 and my company number is 413. My extension is 36544. Thank you.
Re: First Point California,Sheila Tweed or Dale Rasmussen. Mark
Re: Legal Committee Telephone Conference,Let's try again in two weeks. Mark
Request for Approval for a CPN for Al Larsen,I approve the request for a CPN for Al Larsen.
Re: Member Applications,Making progress in energy! Mark
Org Chart,Attached is the revised org chart.
